hotel_name,class_of_rating,rating,num_reviews
Evolve Park Lane Seaport,Good,7.3,11
Global Luxury Suites at West End,Good,7.5,9
Inn at St. Botolph,Excellent,8.9,215
One-Bedroom on D Street Apt 432,Awesome,9.0,6
One-Bedroom on Brookline Avenue Apt 834,N/A,N/A,N/A
Hotel Commonwealth,Awesome,9.1,1767
One-Bedroom on D Street Apt 432,Awesome,9.0,6
One-Bedroom on Brookline Avenue Apt 834,N/A,N/A,N/A
Hotel Commonwealth,Awesome,9.1,1767
One-Bedroom on D Street Apt 353,N/A,N/A,N/A
One-Bedroom on D Street Apt 345,Very Good,8.3,5
Boston Newbury,Good,7.8,172
Hampton Inn & Suites Boston Crosstown Center,Very Good,8.0,499
Four-Bedroom on Hamilton Place Apt 406,N/A,N/A,N/A
2BR With Views of Charles River by STARS of Boston,Review score,6.8,10
One-Bedroom on Warrenton Street Apt 5,N/A,N/A,N/A
Goodwin Beacon Hill House,N/A,N/A,N/A
Courtyard Boston Copley Square,Very Good,8.5,201
Three-Bedroom on South Street Apt 3,N/A,N/A,N/A
Comfort Inn Boston,Good,7.5,924
Boston Omni Parker House Hotel,Very Good,8.3,2541
Jefferies Point Condos by Airport & Subway - 3,N/A,N/A,N/A
The Liberty a Luxury Collection Hotel,Excellent,8.8,535
Courtyard by Marriott Boston Logan Airport,Good,7.9,417
102 Chandler #7 By Lyon Apartments,N/A,N/A,N/A
Two-Bedroom on Washington Street Apt 407,N/A,N/A,N/A
One-Bedroom on Washington Street Apt 206,N/A,N/A,N/A
Mandarin Oriental Boston,Awesome,9.2,84
One-Bedroom on Beacon Street Apt 17,N/A,N/A,N/A
Midtown Hotel,Good,7.7,1125
Jefferies Point Condos by Airport & Subway,N/A,N/A,N/A
Two-Bedroom on Washington Street Apt 507,N/A,N/A,N/A
Studio on Washington Street Apt 202,N/A,N/A,N/A
The West End Family Getaway,N/A,N/A,N/A
Two-Bedroom on Commonwealth Avenue Apt 311,N/A,N/A,N/A
One-Bedroom on Brookline Avenue Apt 634,N/A,N/A,N/A
Herbivorian House,N/A,N/A,N/A
One-Bedroom on D Street Apt 151,N/A,N/A,N/A
